ID,target,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v126,v127,v128,v129,v130,v131
102131,10,2.72931358704,8.09126978418,67,4.06396729327,9.36536471542,3.0660687578,2.64271931526,0.425627641006,10.1530619525,0.85339179593,14.8594931793,6.39034403708,3.94763567098,8.95859061765,2.19633305666,8.13333422005,3.94112053113,0.955545455258,0.184924468698,18.119906103,4.3824455747,0.000000506003376424,68,0.761509221514,2.0814618128,2.56574684794,6.66452907222,8.39640749345,67,65,1.9146881175,1.92431042992,5.36889905122,6.9275173151,14.8514206388,1.11650498571,0,0.128027400438,11.0701114552,6.95317432495,12.790250422,2.42631876062,11.9472643649,9.10881497815,0.497984940403,67,12.0154139381,7.63309893317,0.767369451454,7.19795300577,70,15.553857269,0.417493645761,1.59717861387,4.45798670716,6.78994162477,10.3810011761,1.81099074579,15.6846851581,3,0.407220189794,6.64460695577,16.9492818293,65,9.35856285704,19.4674559819,11.0666664652,12.1144803313,66,3,2.84155730332,66,66,2.44708042807,7.86401479338,8.80000040807,69,3.11224555266,7.25135359459,3.69778622619,1.2700445605,2.34765806001,2.23792736889,1.32777413087,10.9119555447,1.06478576026,0.599030485462,0.943187480788,65,0.51579653279,5.36748321874,3.63463664597,0.577807105548,6.52982582284,7.47572717724,9.27151930241,1.16420873043,11.7603553143,5.80193837508,1.92387402205,4.79283372605,2.74078734998,0.270079527003,12.6413742289,69,1.82144588154,3.53944887879,66,2.5785757664,65,13.1230455248,8.93333405389,2.3529408744,10.2818727134,8.5922330543,6.08491703598,0.414201687944,1.66386574535,7.04081703542,2.69774493913,0.247180323155,1.66548266316,3.74037823376,1.8382834714,0,1.45631008611,3.06666682633
132924,10,-1,-1,67,-1,-1,-1,-1,-1,-1,1.29102929897,-1,6.10879699255,-1,12.2301380053,-1,-1,-1,-1,-1,-1,7.27472889597,-1,69,-1,-1,-1,-1,-1,70,65,-1,-1,5.53076356718,-1,-1,-1,0,-1,11.254612678,-1,-1,-1,-1,-1,-1,67,-1,-1,2.44296125004,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,65,-1,-1,-1,-1,66,2,-1,66,66,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,66,-1,78,13.6450016781,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
140799,01,-1,-1,67,-1,-1,-1,-1,-1,-1,1.81619210644,-1,7.16921844624,-1,12.1486056987,-1,-1,-1,-1,-1,-1,6.93535410469,-1,66,-1,-1,-1,-1,-1,-1,65,-1,-1,4.81350080926,-1,-1,-1,0,-1,12.917300609,-1,-1,-1,-1,-1,-1,67,-1,-1,0.56782418335,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,66,-1,-1,-1,-1,70,1,-1,66,68,-1,-1,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,66,-1,-1,66,-1,70,11.3482684293,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
33124,10,1.15697291596,2.51263513953,67,1.73885110614,8.30772140456,1.52595345093,1.84490394305,4.88313524012,11.0576926892,1.29102941691,15.6582627681,6.01692973497,4.56115654011,10.6554759654,2.80705688621,4.91124189959,1.00650435748,1.09901821243,0.331645300731,15.7004828164,5.75246603959,8.77032023258,69,3.14577012667,0.917240094973,2.3327071452,6.83557792143,6.82301524775,67,65,2.15759942711,4.22764324206,6.16222284109,8.51782461621,14.9976078867,0.677965186354,0,0.194800006803,10.2561320971,6.99186968036,13.2270175451,1.12044892843,6.93676081345,10.3890379344,3.68215798635,67,17.6647749738,8.78048838157,2.69826031826,12.4156677415,75,16.0219980005,1.62102351871,3.45215835845,3.65853618478,17.2218658835,7.68061531509,0.802585521774,8.61256927335,2,3.50574474981,1.88893164669,12.0323631977,65,8.93058155131,18.9967851945,10.8875748543,12.8498915219,70,2,3.35550916924,66,68,0.590523186413,6.57285885141,14.4970423947,66,3.99038366488,8.31695057659,3.18331700988,4.59662204841,3.11444694018,6.17250580537,1.37898638957,10.022068123,0.537837018037,1.51351759606,0.819153390828,67,0.61619849408,2.49006127859,4.55052593038,0.824682127525,5.46591676143,4.74576275786,5.42148326671,1.02042920508,2.7781356759,3.23935145247,2.69044788088,6.88311103616,2.8358301805,3.15950886354,4.82504237807,68,1.22830358721,3.60106446337,66,5.77861234918,80,14.497945104,9.11242513894,1.28322703878,9.15093218064,5.42372792364,15.082876404,0.823151468399,5.23504367616,7.06730685261,11.9342788709,0.466666895679,1.69855625551,2.09896737485,1.69491533803,0,4.58305115656,0.591716513459
71608,10,-0.00000026665263466,6.21959119075,67,4.96741005398,8.74243354776,2.77695800116,2.80649973715,0.027347829699,7.45762691735,1.81619310053,16.6666664652,6.14495457726,2.87072976583,12.433869902,1.43914477441,1.42857153096,4.36256095392,0.243126427273,0.17688680609,18.6575241255,7.09011690641,-0.0000001037478071,66,0.135225436522,1.62481541033,3.13146279295,1.44537104055,8.98079852901,70,67,0.974888666688,0.827179045538,6.59256809863,7.56277667995,10.5889357348,0.000000699851197535,1,3.27065260771,10.1041884971,7.828655008,12.8803552758,1.88679244267,13.8960765518,9.35457522753,0.140527394748,67,11.1449146525,8.36041373451,3.41427574983,6.41651097566,76,16.5789483455,0.103213485138,0.531757041414,5.05169894222,0.697674165408,10.585952438,1.62481570938,16.6169423721,2,0.1566259585,7.45237259987,17.6879567481,65,9.39438798108,16.39534909,8.57142874452,11.4398918684,70,3,1.44130022455,66,68,2.66980561958,8.00590780106,18.571429087,66,0.338983235858,6.56035879402,8.61646211029,1.15214119497,0.177252531504,3.59999943531,0.930576920251,13.2677280937,2.00886321825,0.0545814293809,0.943680604556,70,0.520193137431,6.06233402023,3.6921277705,0.540968476686,7.44460791781,6.31578888628,9.98020380368,1.84145698158,19.3023248819,7.81156155927,1.79363296686,4.47444619559,1.89989090586,0.0223424274243,14.0646164291,65,2.04863830029,6.00328989037,66,1.41802086581,86,14.8583768192,11.4285722508,1.97368343795,8.09257121084,6.31578914294,-0.0000000109752374155,0.581394755076,1.37809224064,7.11864344356,2.0429637836,0.0216037007048,1.86147821968,2.7141796759,2.53673088638,0,0.589473065688,0.000000127169418365
166290,10,1.08610522755,9.35473136422,67,4.17550737664,8.72723807722,1.99608551417,2.50489246046,0.848868212334,8.09160380149,1.81619289625,15.7723582282,6.1164446661,3.53747318804,12.3078393066,2.14592260158,3.84615311271,4.23384514622,0.286238846808,0.220290153952,17.8502407797,6.93240602308,-0.000000115847315105,68,1.05803530168,1.82974510928,2.21134955312,2.18302313674,9.11937446168,67,66,1.55577212212,1.01761193197,6.10661958948,9.08023487672,15.0683216421,0.468750497777,0,0.908203208955,10.872584585,7.59295473074,13.5029352,2.07317036411,11.5173699335,9.91475194751,0.998613387897,67,11.2197084105,8.45401136646,3.49350797054,6.00190165036,74,15.922746102,0.852030962677,0.763210345157,4.46183863347,2.27160537697,11.832613584,1.72211406651,16.7266468211,0,0.892662207205,7.28455812445,17.0196522278,65,9.62818046775,18.1728388629,10.0000006233,12.5858148605,70,2,2.24424106023,66,68,2.58183800216,7.63209485187,13.8461542966,66,0.763357849671,7.85016810774,3.47440717147,1.0567520511,0.587083657404,1.65517149827,1.4090025217,10.0266611221,3.20939357551,1.00141572505,1.15846646516,66,0.605084876411,5.02259980621,4.10390726328,0.635275089249,7.26027494094,7.49999959829,7.94963976465,1.68623585822,17.7283951364,6.93556765758,1.70194356374,4.19899052026,2.79438219273,0.518132531622,13.9681587989,66,1.96201933358,3.6192246446,66,1.5264184352,65,14.333563103,9.99999964304,2.06008624852,9.50776888343,7.96874941648,1.66885157181,1.0370371349,1.25000088811,7.32824454814,1.72732421363,0.451516080132,2.42366544185,2.49510737221,1.75663667066,2,0.812499345514,2.30769158526
18556,10,-1,-1,67,-1,-1,-1,-1,-1,-1,5.22975847294,-1,8.6407563276,-1,15.0894065597,-1,-1,-1,-1,-1,-1,8.8629387423,-1,69,-1,-1,-1,-1,-1,-1,66,-1,-1,8.89334830268,-1,-1,-1,0,-1,9.90159815288,-1,-1,-1,-1,-1,-1,67,-1,-1,3.4450877223,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,65,-1,-1,-1,-1,66,1,-1,66,66,-1,-1,-1,66,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68,-1,-1,66,-1,78,15.0098478129,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
33054,10,2.51079667609,1.21575063224,67,1.10476482343,7.94633063675,0.950031313054,2.02961044429,7.82717589696,10.2739723372,1.00656435446,14.2278486811,6.69184565725,4.0222545874,11.6363870153,3.14465494202,5.38461490908,0.387477537955,1.03116884523,0.306461481941,14.6952024008,7.01772855572,17.9939009964,67,7.5840394121,1.32325778227,2.56014829935,6.92965483599,4.90438097811,68,65,2.08204778957,4.81184368845,6.72061537433,7.34114828745,15.361418636,1.33738512863,0,0.0444893273024,9.0868964758,5.20049308477,11.6779775515,1.97468398781,4.23674238138,13.9445469432,8.63627315963,73,19.5021815866,6.94632989307,0.242095095794,15.4112504399,75,14.6163531338,4.64768344964,3.10919192916,3.05983945086,19.6984241955,6.72634333729,1.06313062,5.38023080027,1,8.3267045381,0.782188457349,9.78404726446,65,7.31030265604,17.8615499989,8.61538385378,10.2807480794,70,1,3.95569572171,66,68,0.219168459702,4.8180133452,13.4871800307,67,4.79452036231,8.79799503258,3.2011290772,4.86736550601,3.88649022459,8.3653836797,1.11042521257,8.8972730246,0.308450652532,8.3084338544,1.01764119372,66,0.369224157942,1.60516259331,4.62597712919,0.589311596513,3.58420823485,5.71428653973,8.96768024838,0.124409631105,0.205620983372,1.6472349001,-1,7.41260254614,2.94527903883,4.45837817318,2.43567522371,66,1.64754310006,2.97510071795,65,8.21715037642,78,14.467397057,11.3846150432,2.36477938069,8.30249611832,7.11246131232,19.6456318037,2.08361974246,7.00710528018,5.47945205139,16.5242099291,2.69085573735,1.554868775,2.12831591453,1.50905267467,0,4.74164105339,1.12820489163
176244,10,-1,-1,67,-1,-1,-1,-1,-1,-1,1.31291100043,-1,6.45168101412,-1,12.7939444435,-1,-1,-1,-1,-1,-1,8.08330895215,-1,69,-1,-1,-1,-1,-1,-1,65,-1,-1,5.1681024293,-1,-1,-1,0,-1,11.8500825875,-1,-1,-1,-1,-1,-1,73,-1,-1,1.53473764507,-1,76,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,66,-1,-1,-1,-1,70,1,-1,66,68,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,65,-1,81,12.7818830536,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
58015,10,-1,-1,67,-1,-1,-1,-1,-1,-1,0.787746961285,-1,6.52639682637,-1,11.0922062924,-1,-1,-1,-1,-1,-1,6.76604965949,-1,65,-1,-1,-1,-1,-1,-1,65,-1,-1,2.421946744,-1,-1,-1,0,-1,15.6638446008,-1,-1,-1,-1,-1,-1,73,-1,-1,0.255299574558,-1,69,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,65,-1,-1,-1,-1,67,1,-1,66,66,-1,-1,-1,67,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69,-1,-1,65,-1,73,7.91955583023,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1
